token,frequency,quant,%,action,value
with,47491,47491,2.47%,del,
and,42858,90349,4.70%,del,
of,33631,123980,6.45%,del,
De,21522,145502,7.57%,del,
Sauce,19727,165229,8.59%,prep,
or,14884,180113,9.37%,del,
la,14738,194851,10.13%,del,
a,14661,209512,10.90%,del,
Fried,12715,222227,11.56%,prep,
in,12150,234377,12.19%,del,
Cream,12093,246470,12.82%,prep,
Chicken,11948,258418,13.44%,ing,
Mit,11893,270311,14.06%,?,
Salad,10934,281245,14.63%,prep,
-,10912,292157,15.20%,del,
Fresh,10762,302919,15.76%,prep,
Potatoes,10404,313323,16.30%,ing,
Broiled,10197,323520,16.83%,prep,
Au,9561,333081,17.32%,del,
A,8772,341853,17.78%,del,
Roast,8226,350079,18.21%,prep,
Beef,7831,357910,18.62%,ing,
Butter,7088,364998,18.98%,ing,
on,6818,371816,19.34%,del,
French,6706,378522,19.69%,region,
Cold,6292,384814,20.02%,prep,
Und,5824,390638,20.32%,del,
Baked,5715,396353,20.62%,prep,
Cheese,5679,402032,20.91%,ing,
Tomato,5533,407565,21.20%,ing,
Potato,5522,413087,21.49%,ing,
Steak,5363,418450,21.76%,ing,
Filet,5161,423611,22.03%,prep,
Boiled,5145,428756,22.30%,prep,
Served,5047,433803,22.56%,del,
Green,5015,438818,22.82%,ing,
Ham,4915,443733,23.08%,ing,
Half,4785,448518,23.33%,quant,
En,4756,453274,23.58%,del,
The,4563,457837,23.81%,del,
Lamb,4493,462330,24.05%,ing,
La,4460,466790,24.28%,del,
Toast,4444,471234,24.51%,ing,
Aux,4270,475504,24.73%,del,
Ice,4020,479524,24.94%,ing,
Eggs,3988,483512,25.15%,ing,
Rice,3976,487488,25.36%,ing,
Soup,3893,491381,25.56%,prep,
White,3810,495191,25.76%,adj,
Egg,3720,498911,25.95%,ing,
Wine,3703,502614,26.14%,ing,
Chateau,3661,506275,26.33%,region,
Bacon,3636,509911,26.52%,ing,
Sandwich,3554,513465,26.71%,prep,
Veal,3523,516988,26.89%,ing,
Extra,3509,520497,27.07%,adj,
Sliced,3443,523940,27.25%,prep,
Lobster,3405,527345,27.43%,ing,
Hot,3397,530742,27.61%,prep,
New,3364,534106,27.78%,adj,
Special,3352,537458,27.95%,prep,
Stuffed,3339,540797,28.13%,prep,
Spring,3231,544028,28.30%,adj,
Mushrooms,3223,547251,28.46%,ing,
Fruit,3208,550459,28.63%,ing,
Sirloin,3201,553660,28.80%,ing,
Red,3141,556801,28.96%,adj,
"Chicken,",3061,559862,29.12%,ing,
Style,3011,562873,29.28%,del,
"Potatoes,",2973,565846,29.43%,ing,
"Salad,",2973,568819,29.59%,prep,
"Sauce,",2922,571741,29.74%,prep,
"Steak,",2918,574659,29.89%,prep,
Dry,2879,577538,30.04%,prep,
Coffee,2876,580414,30.19%,ing,
Bread,2871,583285,30.34%,ing,
Apple,2862,586147,30.49%,ing,
Saute,2848,588995,30.64%,prep,
"Beef,",2809,591804,30.78%,ing,
Dressing,2788,594592,30.93%,prep,
Sweet,2783,597375,31.07%,adj,
Grilled,2780,600155,31.22%,prep,
Peas,2769,602924,31.36%,ing,
Pommes,2760,605684,31.50%,trans,French Fries
Pork,2747,608431,31.65%,ing,
Milk,2722,611153,31.79%,ing,
Jelly,2597,613750,31.92%,prep,
Cocktail,2584,616334,32.06%,ing,
per,2533,618867,32.19%,quant,
Imported,2489,621356,32.32%,prep,
Choice,2475,623831,32.45%,adj,
Old,2441,626272,32.57%,adj,
Oysters,2440,628712,32.70%,ing,
Two,2429,631141,32.83%,quant,
Shrimp,2429,633570,32.95%,ing,
Le,2372,635942,33.08%,del,
Crab,2366,638308,33.20%,ing,
Lettuce,2343,640651,33.32%,ing,
Creme,2326,642977,33.44%,trans,Cream
Tea,2278,645255,33.56%,ing,
Champagne,2273,647528,33.68%,ing,
Consomme,2238,649766,33.80%,prep,
Et,2214,651980,33.91%,del,
Vegetable,2196,654176,34.03%,ing,
For,2182,656358,34.14%,quant,
2,2156,658514,34.25%,quant,
Ã,2150,660664,34.36%,del,
Beans,2116,662780,34.47%,ing,
Meat,2101,664881,34.58%,ing,
Vegetables,2079,666960,34.69%,ing,
St.,2058,669018,34.80%,,
To,2052,671070,34.90%,del,
Cake,2018,673088,35.01%,prep,
Prime,2005,675093,35.11%,adj,
Pot,1969,677062,35.22%,,
Du,1954,679016,35.32%,,
Sole,1933,680949,35.42%,ing,
Omelette,1931,682880,35.52%,prep,
Cup,1923,684803,35.62%,quant,
Poached,1913,686716,35.72%,prep,
Mixed,1912,688628,35.82%,prep,
"Ham,",1907,690535,35.92%,ing,
Smoked,1882,692417,36.01%,prep,
Salade,1879,694296,36.11%,trans,Salad
Lemon,1876,696172,36.21%,ing,
Salmon,1873,698045,36.31%,ing,
Onions,1871,699916,36.40%,ing,
Tenderloin,1870,701786,36.50%,ing,
Salat,1862,703648,36.60%,trans,Salad
Turkey,1854,705502,36.70%,ing,
Small,1845,707347,36.79%,quant,
Pie,1844,709191,36.89%,prep,
Stewed,1822,711013,36.98%,prep,
Pudding,1810,712823,37.08%,prep,
Asparagus,1809,714632,37.17%,ing,
English,1801,716433,37.26%,region,
Breast,1797,718230,37.36%,adj,
Tomatoes,1774,720004,37.45%,ing,
Shell,1774,721778,37.54%,ing,
Chocolate,1744,723522,37.63%,ing,
"Eggs,",1722,725244,37.72%,ing,
Mayonnaise,1697,726941,37.81%,ing,
1/2,1696,728637,37.90%,quant,
Fish,1679,730316,37.99%,ing,
Sea,1678,731994,38.07%,adj,
Brut,1650,733644,38.16%,prep,
Corn,1634,735278,38.24%,ing,
"Butter,",1630,736908,38.33%,ing,
Assorted,1601,738509,38.41%,adj,
Whole,1598,740107,38.50%,adj,
Orange,1586,741693,38.58%,ing,
Club,1576,743269,38.66%,adj,
Glass,1568,744837,38.74%,quant,
Oyster,1566,746403,38.82%,ing,
Mutton,1559,747962,38.90%,ing,
Gratin,1549,749511,38.98%,prep,
Cole,1541,751052,39.06%,ing,
Tartar,1536,752588,39.14%,ing,
Rolls,1535,754123,39.22%,ing,
Mashed,1526,755649,39.30%,prep,
1,1520,757169,39.38%,quant,
Glace,1519,758688,39.46%,trans,Glazed
Liver,1514,760202,39.54%,ing,
Water,1508,761710,39.62%,ing,
Supreme,1507,763217,39.70%,adj,
Di,1507,764724,39.78%,del,
Corned,1507,766231,39.85%,prep,
Chops,1502,767733,39.93%,adj,
Plain,1479,769212,40.01%,adj,
"Cheese,",1479,770691,40.09%,ing,
Bottle,1475,772166,40.16%,quant,
Mushroom,1472,773638,40.24%,ing,
Veau,1446,775084,40.31%,trans,Veal
Sherry,1443,776527,40.39%,ing,
One,1438,777965,40.46%,quant,
Les,1425,779390,40.54%,adj,
"Saute,",1401,780791,40.61%,prep,
Creamed,1400,782191,40.68%,prep,
Ribs,1392,783583,40.76%,ing,
M.,1384,784967,40.83%,,
Cakes,1381,786348,40.90%,prep,
Scotch,1374,787722,40.97%,ing,
Brown,1372,789094,41.04%,prep,
Celery,1368,790462,41.11%,ing,
"Cream,",1365,791827,41.19%,prep,
Our,1362,793189,41.26%,del,
Steamed,1361,794550,41.33%,prep,
Chop,1331,795881,41.40%,prep,
American,1325,797206,41.47%,region,
Clams,1312,798518,41.53%,ing,
Pineapple,1304,799822,41.60%,ing,
Spaghetti,1291,801113,41.67%,ing,
Brandy,1290,802403,41.74%,ing,
"Bacon,",1290,803693,41.80%,ing,
"Toast,",1289,804982,41.87%,ing,
Spinach,1283,806265,41.94%,ing,
"Mushrooms,",1282,807547,42.00%,ing,
Beer,1280,808827,42.07%,ing,
Calf'S,1279,810106,42.14%,adj,
Slaw,1279,811385,42.20%,prep,
Whiskey,1278,812663,42.27%,ing,
Braised,1275,813938,42.34%,prep,
"Lamb,",1272,815210,42.40%,ing,
Auf,1270,816480,42.47%,del,
From,1267,817747,42.53%,del,
Squab,1254,819001,42.60%,ing,
"Pudding,",1253,820254,42.66%,prep,
Fillet,1246,821500,42.73%,prep,
Vin,1241,822741,42.79%,trans,Wine
Co.,1231,823972,42.86%,,
Whipped,1227,825199,42.92%,prep,
"Tomato,",1226,826425,42.99%,ing,
Bass,1217,827642,43.05%,ing,
Hollandaise,1212,828854,43.11%,ing,
Scrambled,1209,830063,43.17%,prep,
"Lobster,",1208,831271,43.24%,ing,
"Soup,",1199,832470,43.30%,prep,
Large,1194,833664,43.36%,quant,
"Turkey,",1193,834857,43.42%,ing,
Rye,1191,836048,43.49%,ing,
"Oysters,",1189,837237,43.55%,ing,
Blue,1181,838418,43.61%,adj,
Beurre,1178,839596,43.67%,trans,Butter
"Coffee,",1170,840766,43.73%,ing,
Soft,1169,841935,43.79%,adj,
String,1169,843104,43.85%,prep,
Grand,1165,844269,43.91%,quant,
Chopped,1165,845434,43.97%,prep,
Puree,1164,846598,44.03%,prep,
Clam,1163,847761,44.09%,ing,
Island,1158,848919,44.16%,adj,
Vanilla,1154,850073,44.22%,adj,
Virginia,1150,851223,44.27%,region,
Casserole,1149,852372,44.33%,prep,
Toasted,1141,853513,44.39%,prep,
Onion,1136,854649,44.45%,ing,
Stew,1132,855781,44.51%,prep,
Maitre,1116,856897,44.57%,,
Young,1114,858011,44.63%,adj,
Fruits,1112,859123,44.69%,ing,
Swiss,1091,860214,44.74%,ing,
All,1083,861297,44.80%,,
Sausage,1078,862375,44.85%,ing,
Ale,1076,863451,44.91%,ing,
Champignons,1066,864517,44.97%,trans,Mushrooms
"Wine,",1066,865583,45.02%,ing,
Black,1065,866648,45.08%,adj,
Order,1060,867708,45.13%,adj,
"Salmon,",1060,868768,45.19%,ing,
Sour,1056,869824,45.24%,adj,
Rum,1054,870878,45.30%,ing,
Juice,1054,871932,45.35%,prep,
Boston,1042,872974,45.41%,region,
Blanc,1039,874013,45.46%,trans,White
Fine,1033,875046,45.51%,adj,
Leg,1031,876077,45.57%,adj,
California,1022,877099,45.62%,region,
"Sole,",1022,878121,45.67%,ing,
Sparkling,1012,879133,45.73%,adj,
"Sandwich,",1012,880145,45.78%,prep,
-2,1001,881146,45.83%,quant,2
Made,999,882145,45.88%,adj,
"Lettuce,",986,883131,45.93%,ing,
Spanish,978,884109,45.99%,region,
Bowl,976,885085,46.04%,quant,
Mignon,972,886057,46.09%,ing,
Tongue,967,887024,46.14%,ing,
"Egg,",963,887987,46.19%,ing,
Strawberry,961,888948,46.24%,ing,
Breaded,951,889899,46.29%,prep,
Crackers,951,890850,46.34%,ing,
Port,949,891799,46.39%,ing,
Ginger,939,892738,46.43%,ing,
Filets,939,893677,46.48%,prep,
Little,936,894613,46.53%,quant,
Burgundy,935,895548,46.58%,adj,
Oder,931,896479,46.63%,del,
Alla,930,897409,46.68%,del,
Boeuf,927,898336,46.73%,trans,Beef
Bordeaux,926,899262,46.77%,region,
Caviar,925,900187,46.82%,ing,
Italian,923,901110,46.87%,region,
"Tea,",921,902031,46.92%,ing,
Punch,921,902952,46.97%,prep,
Cranberry,919,903871,47.01%,ing,
Parsley,917,904788,47.06%,ing,
Foie,917,905705,47.11%,trans,Liver
Art,912,906617,47.16%,,
Julienne,907,907524,47.20%,prep,
Buttered,902,908426,47.25%,prep,
Creole,898,909324,47.30%,adj,
Long,898,910222,47.34%,quant,
"Beans,",896,911118,47.39%,ing,
"Chops,",893,912011,47.44%,ing,
Crisp,892,912903,47.48%,adj,
Meuniere,891,913794,47.53%,prep,
Parisienne,891,914685,47.58%,region,
Loin,891,915576,47.62%,prep,
Jumbo,890,916466,47.67%,quant,
Saddle,888,917354,47.71%,,
Con,882,918236,47.76%,del,
"Onions,",882,919118,47.81%,ing,
"Rice,",878,919996,47.85%,ing,
Von,875,920871,47.90%,,
Scallops,872,921743,47.94%,ing,
Mint,867,922610,47.99%,ing,
Frites,864,923474,48.03%,prep,
Des,862,924336,48.08%,,
Combination,862,925198,48.12%,adj,
"Bass,",860,926058,48.17%,ing,
