id,menus_appeared,true_menus_count
19,16,15
23,11,9
65,135,126
73,4,2
75,4,2
123,16,15
179,4,2
180,4,2
298,3,2
322,4,2
594,2,1
640,24,22
724,4,2
727,17,16
745,3,2
827,14,13
828,5,4
845,10,9
884,2,1
942,75,40
1082,86,85
1091,15,8
1110,5,3
1115,6,5
1116,4,2
1118,3,2
1122,4,2
1128,4,2
1133,4,2
1137,4,2
1151,11,9
1154,11,9
1164,6,4
1166,4,2
1180,4,2
1211,3,2
1224,8,7
1225,5,4
1234,4,2
1235,3,2
1236,4,2
1237,4,2
1264,33,31
1271,118,117
1280,14,13
1285,39,38
1288,4,3
1340,3,2
1343,4,3
1344,4,3
1346,5,3
1347,5,4
1348,4,3
1353,16,15
1361,4,3
1398,6,5
1436,8,7
1444,3,2
1445,8,7
1446,7,6
1551,81,68
1555,5,4
1639,4,2
1640,4,2
1649,4,3
1737,2,1
1779,4,2
1798,3,2
1841,5,4
1847,4,2
1876,4,2
1879,3,2
1880,4,2
1885,4,2
1888,4,2
1890,4,2
1925,2,1
1937,14,13
2034,28,27
2056,4,1
2090,3,2
2158,2,1
2168,6,5
2169,3,2
2299,7,6
2362,2,1
2377,3,1
2423,21,20
2472,7,6
2533,4,3
2604,9,8
2717,14,13
2792,2,1
2861,2,1
2924,4,3
3044,23,22
3128,17,16
3166,2,1
3187,4,3
3312,6,5
3364,17,11
3459,3,2
3500,9,8
3501,2,1
3510,55,54
3580,3,2
3684,23,21
3804,14,13
3833,6,5
3902,22,21
4117,7,6
4288,4,3
4326,64,63
4336,7,4
4450,13,10
4464,6,3
4467,6,3
4477,11,10
4491,4,3
4494,16,15
4519,23,19
4524,6,3
4531,10,7
4535,6,3
4556,6,5
4662,3,2
4682,18,17
4685,12,11
4702,12,9
4742,9,8
4765,8,7
4908,9,8
5042,8,6
5138,16,15
5140,28,27
5233,8,7
5250,4,3
5255,16,12
5266,3,2
5369,11,8
5597,74,69
5617,4,3
5634,3,2
5833,35,26
5907,17,16
5948,9,6
5972,76,75
5990,10,9
6002,7,6
6031,70,68
6057,8,7
6067,14,13
6103,12,9
6116,2,1
6220,91,69
6275,56,55
6603,6,3
6616,17,16
6625,3,2
6663,29,27
6760,34,33
6761,22,21
6802,3,2
6865,3,2
6905,6,5
6979,14,13
7013,30,29
7019,8,7
7045,16,15
7067,4,3
7084,33,32
7111,38,37
7207,6,5
7222,6,5
7346,6,5
7508,3,2
7533,35,32
7687,2,1
7713,6,3
7746,20,19
7828,9,8
7876,18,17
7892,2,1
7895,4,2
7912,4,3
7971,11,10
8011,5,4
8171,5,3
8218,16,15
8248,7,6
8349,20,19
8354,3,2
8440,5,4
8441,5,4
8445,5,4
8526,3,2
8849,2,1
8861,7,6
8922,31,23
8990,5,4
9010,3,2
9052,40,37
9092,16,15
9179,7,6
9204,17,16
9225,18,11
9294,60,57
9312,3,2
9361,12,11
9535,6,5
9789,29,28
9800,16,15
9825,10,9
9914,16,15
9995,2,1
10059,20,18
10491,3,2
10526,17,15
10538,12,11
10551,18,17
10572,112,111
10855,6,5
10888,8,6
10940,17,16
10956,18,11
11002,3,2
11126,8,7
11157,4,3
11249,2,1
11668,21,16
11698,9,8
11703,12,9
11855,6,5
11910,7,6
11920,3,2
11960,10,9
12156,7,6
12229,2,1
12234,15,14
12345,28,27
12496,11,10
12518,9,8
12585,5,4
12602,2,1
12626,4,3
12636,13,12
12713,4,3
12718,13,12
12751,12,11
12752,2,1
12775,8,7
12871,5,4
13041,2,1
13046,3,2
13051,4,2
13053,5,4
13162,22,21
13296,7,6
13445,9,7
13466,5,4
13631,5,4
13676,19,18
13681,5,4
13706,21,20
13710,6,5
13911,3,2
13928,4,3
13929,8,7
13967,3,2
13994,4,3
14048,3,2
14106,9,8
14215,22,19
14309,12,11
14328,11,10
14386,22,21
14647,5,4
14684,6,5
14741,7,4
14782,4,3
14849,7,4
14865,7,6
14923,6,5
14948,5,4
14997,9,8
15063,8,6
15079,9,8
15102,5,4
15124,28,27
15319,4,3
15333,3,2
15410,8,6
15412,4,3
15441,4,2
15519,6,5
15526,52,45
15535,18,15
15590,10,9
15685,5,4
15705,5,4
15789,5,4
15802,3,2
15858,6,5
16137,11,10
16140,7,6
16187,2,1
16191,2,1
16219,5,4
16227,9,7
