id,price,high_price
1455,40,0.4
2303,1,0.2
2694,0.5,0.3
2724,2,1
4254,1,0.5
6516,0.6,0.4
7767,0.8,0.4
7772,1,0.5
7778,1,0.5
7787,0.8,0.4
7802,1,0.5
11508,1,0.6
11813,1,0.6
11820,0.9,0.5
12109,0.1,0.05
12117,0.1,0.05
14492,2.5,1.25
14502,2.5,1.25
14859,1.75,0.9
14872,0.4,0.25
15840,0.4,0.25
19168,1.25,0.65
27232,0.4,0.25
30970,0.6,0.2
30975,0.6,0.12
31575,3.5,1.75
31584,3.5,1.75
31592,3.5,1.75
31601,3.5,1.75
31607,4,2
31613,4,2
31622,3.5,1.75
31632,3.5,1.75
31696,4,2
31700,4,2
31707,3.5,1.75
31711,3,1.5
31715,2,1
35312,15,0.4
35337,15,0.35
44280,0.1,0.05
50129,0.35,0.2
53901,0.5,0.3
56619,2,1.25
56623,3.5,1.75
56629,3.5,1.75
56634,3.5,1.75
56636,3.5,1.75
56639,3.5,1.75
56641,3.5,1.75
56644,3.5,1.75
56647,3.5,1.75
56649,2,1
56656,3.5,1.75
56728,0.75,0.4
56730,1,0.5
56732,1,0.5
56733,1.5,0.75
56735,1.5,0.75
56736,1.5,0.75
56738,1.5,0.75
56739,2,1
56741,1,0.5
56742,1,0.5
56743,1,0.5
56744,1,0.5
59432,25,20
59688,75,1.5
62221,0.75,0.25
62701,0.2,0.1
63940,0.25,0.15
63949,0.2,0.1
64471,3.5,1.75
70246,1,0.6
71836,0.2,0.1
72245,1.5,1
73048,0.5,0.1
78538,0.5,0.1
80029,40,0.6
82151,0.25,0.1
92598,0.65,0.1
92840,75,1.5
92848,75,1.5
92871,75,1.5
94334,1,0.6
94357,0.15,0.025
99326,2.5,2
100240,6,5
101531,3.75,2
103135,1.75,1.5
111113,0.5,0.1
111138,0.5,0.1
113242,4,2
113310,1.5,0.75
113434,1.5,0.85
117739,0.7,0.4
117987,1.5,0.75
123385,0.5,0.1
131313,7,3.5
131317,1,0.6
131319,1.5,0.75
132839,0.5,0.3
132841,0.5,0.3
132844,0.4,0.25
132847,0.9,0.5
132849,0.5,0.2
132851,0.4,0.25
132854,0.4,0.25
132856,0.4,0.25
132886,0.5,0.3
132888,0.35,0.2
132891,0.35,0.2
132895,0.5,0.3
132898,0.35,0.2
132900,0.4,0.25
132904,0.55,0.35
132906,0.4,0.25
132910,0.5,0.3
132916,1.25,0.65
132923,1.5,0.75
132931,0.6,0.35
132936,0.75,0.45
132941,0.75,0.45
132949,0.5,0.3
132955,0.75,0.45
132960,0.5,0.35
132965,0.4,0.25
132998,1.5,0.75
133007,1.25,0.65
133014,1.4,0.75
133022,1.6,0.9
133074,0.5,0.1
133077,0.5,0.1
133083,0.5,0.1
133099,0.4,0.25
133122,0.4,0.25
133134,0.4,0.25
133135,0.4,0.25
133145,0.4,0.25
133156,0.5,0.35
133174,0.5,0.35
133190,0.5,0.3
133198,0.5,0.3
133203,0.5,0.3
133204,0.6,0.35
