id,first_appeared,early_date
844,1892,1859
927,1899,1900
1045,1899,1900
1114,1883,1892
1817,1900,1901
2448,1851,1854
2725,1882,1896
2870,1881,1866
3063,1,1892
3162,1856,1898
3386,1859,1881
3882,1894,1091
4356,1865,1858
4386,1865,1091
4488,1900,1882
5296,1,1884
5898,1884,1900
6654,1,1896
6852,1851,1883
6997,1896,1091
8015,1901,1913
8744,1858,1859
8749,1865,1856
8877,1851,1856
8958,1856,1862
9041,1856,1880
9093,1890,1897
9182,1886,1901
9263,1900,1901
9390,1885,1897
10148,1856,1851
10201,1887,1900
10422,1887,1900
10438,1856,1880
10985,1899,1901
11041,1900,1895
11101,1851,1882
11108,1881,1901
11134,1899,1901
11279,1856,1900
12172,1900,1901
12173,1900,1901
12176,1900,1901
13221,1889,1900
13268,1856,1881
13639,1891,1898
13730,1887,1900
13746,1887,1900
13880,1,1899
14929,1881,1856
15115,1900,1091
16195,1893,1882
16263,1856,1885
17704,1898,1900
18162,1881,1892
18556,1856,1892
18599,1900,190
19615,1900,1906
20421,1887,1900
21230,1859,1900
21511,1897,1900
21663,1900,1901
21755,1856,1866
21889,1900,1901
22619,1897,1899
22653,1900,1901
22893,1900,1899
24344,1891,1091
24924,1887,1856
25248,1880,1864
26505,1856,1899
26763,1857,1091
27111,1900,1895
27188,1881,1899
27250,1900,1091
27398,1881,1882
27692,1900,1091
28417,1884,1900
29631,1857,1856
29764,1901,1897
30511,1899,1893
31042,1900,1962
31124,1889,1899
32724,1900,1954
32745,1900,1974
32785,1900,1913
32811,1900,1947
33658,1900,1901
33702,1890,1891
33742,1946,1914
33907,1885,1856
36650,1899,1887
37530,1899,1901
38291,1899,1900
38462,1883,1934
38962,1881,1899
39353,1884,1914
39547,1851,1852
39607,1883,190
39768,1897,1091
40141,1901,1900
40612,1900,1888
41206,1857,1856
42326,1900,1954
42787,1900,1905
42830,1900,1901
44390,1905,1906
44930,1900,1888
45481,1858,1900
45572,1891,1866
45766,1901,1910
46193,1901,1900
47356,1862,1892
48030,1900,1887
48308,1881,1901
48407,1901,1900
48822,1953,1944
51226,1882,1900
51869,1858,1864
52958,1899,1901
53345,1884,1901
53382,1901,1898
53459,1900,1901
53533,1901,1913
54877,1893,1900
55451,1899,1900
56239,1887,1901
56241,1881,1901
56299,1901,1934
56436,1896,1091
56465,1900,1907
57142,1899,1900
57143,1899,1900
57512,1893,1900
57570,1856,1880
57822,1888,1900
57827,1899,1891
58397,1856,1892
58999,1856,1881
59049,1899,1900
60363,1900,1901
60684,1900,1901
61555,1881,1899
63008,1899,1901
63009,1899,1901
63456,1900,1899
63663,1900,1955
64446,1890,1901
64499,1899,1901
64667,1895,1901
64824,1901,1910
66423,1900,1913
66778,1881,1885
66914,1905,1906
68313,1856,1851
68318,1881,1851
68320,1856,1851
68323,1856,1851
68325,1856,1851
68326,1856,1851
68327,1856,1851
68328,1856,1851
68331,1856,1851
68335,1856,1851
68336,1856,1851
68337,1856,1851
68339,1856,1851
68341,1856,1851
69766,1914,1917
70151,1881,1901
70533,1899,1901
70744,1889,1900
71247,1901,1091
71459,1905,1889
71852,1899,1900
72883,1906,1905
72910,1891,1858
72985,1851,1898
73167,1896,1091
73831,1884,1901
74175,1900,1906
74430,1884,1856
74809,1856,1899
74811,1856,1851
74842,1892,1897
75052,1906,1900
75082,1,1905
75347,1893,1091
75789,1918,1091
76545,1862,1856
76556,1851,1862
76709,1899,1905
77200,1856,1851
77217,1856,1851
78237,1899,1910
78503,1906,1955
78990,1900,1866
79192,1900,190
80015,1882,1899
80539,1857,1880
80598,1881,1858
81923,1898,1964
81961,1899,1910
82750,1881,1899
82967,1881,1859
84890,1900,1906
84897,1851,1866
85299,1906,1900
87571,1851,1866
89336,1891,1914
89483,1900,1091
90845,1907,1905
92518,1857,1900
94338,1891,1961
95843,1901,1899
96152,1906,1907
98327,1884,1856
98762,1905,1912
98775,1905,1910
98788,1905,1958
98792,1905,1906
99320,1905,1969
99445,1905,1965
100251,1882,1969
100683,1895,1880
101478,1887,1900
101532,1899,1907
104021,1881,1900
105485,1894,1899
107311,1906,1900
107560,1859,1898
107975,1851,1862
111969,1884,1885
112958,1,1906
113960,1899,1907
114526,1899,1914
114568,1889,1900
115309,1917,1914
116029,1893,1962
116461,1884,1897
116808,1881,1901
117379,1881,1890
118623,1898,1890
118709,1856,1914
118715,1856,1918
121865,1901,1091
122118,1906,1900
122570,1975,1908
122728,1897,1935
122861,1899,1866
122969,1856,1851
124723,1851,1895
126040,1899,1910
126484,1851,1852
126505,1851,1887
126522,1851,1900
126535,1851,1916
126546,1851,1899
127275,1891,1883
127305,1900,1912
127331,1900,1912
127794,1899,1900
127802,1857,1893
129315,1881,1885
129585,1906,1914
132626,1944,1962
132776,1945,1947
132793,1931,1914
132878,1917,1914
132926,1944,1951
133210,1987,1981
133212,1914,1971
133374,1939,1947
133507,1970,1914
133723,1968,1961
133876,1981,1914
134446,1916,1914
135299,1956,1955
136525,1977,1987
137119,1959,1913
137840,1968,1914
137880,1955,1913
139045,1944,1959
139455,1969,1974
141075,1915,1914
141584,1954,1900
141612,1944,1957
141618,1959,1958
141619,1959,1958
141621,1944,1955
142168,1944,1953
143070,1935,1914
143277,1918,1972
144581,1999,1962
144979,1933,1913
147314,1914,1880
148091,1945,1982
148503,1945,1963
148694,1947,1948
150232,1948,1941
150540,1914,1913
150554,1981,1914
150639,1940,1913
150663,1958,1959
150915,1938,1914
151005,1958,1963
151104,1917,1914
151650,1957,1958
152237,1959,1914
153942,1966,1954
154753,1976,2012
155882,1918,1914
156500,1944,1946
157779,1937,1914
158018,1941,1913
158490,1944,1961
159692,1961,1955
160485,1998,2012
161239,1969,1961
161377,1954,1906
161603,1900,190
161609,1957,1958
161610,1900,190
161612,1900,190
163617,1965,1961
163619,1965,1961
164990,1965,1961
165076,1965,1961
165170,1965,1961
165207,1965,1961
165238,1965,1961
170177,1947,1952
170676,2012,1950
171010,1964,1914
175144,1957,1975
176302,1955,1969
176643,1912,1905
178034,1988,1969
182293,1900,1932
182825,1917,1913
183026,1941,1913
183066,1959,1958
183068,1959,1958
183445,1947,1949
183548,1940,1913
183874,1946,1949
184093,1959,1963
184139,1920,1914
184574,1963,1962
184580,1924,1914
184644,1939,1914
184707,1980,1959
184914,1939,1913
185109,1918,1915
185262,1955,1963
185351,1939,1914
185666,1918,1914
186188,1943,1914
187687,1916,1913
187707,1933,1914
187790,1947,1948
187845,1919,1913
189600,1938,1914
189899,1917,1914
190509,1918,1913
190760,1937,1914
191495,1966,1913
191700,1944,1961
191950,1917,1914
192235,1915,1914
192962,1944,1965
192965,1944,1946
193023,1944,1948
193043,1944,1938
195413,1910,1969
196829,1958,1966
197405,1947,1967
198113,1858,1865
198118,1858,1880
198119,1858,1882
198120,1858,1880
198154,1858,1865
198155,1858,1865
198174,1858,1865
198177,1858,1865
198266,1858,1865
198272,1858,1865
198276,1858,1865
198277,1858,1865
198279,1858,1865
198280,1858,1865
198282,1858,1865
198283,1858,1865
198343,1858,1900
198378,1858,1898
198683,1858,1900
198701,1858,1900
200117,1910,1905
201234,1899,1910
203940,1963,1967
204063,1858,1880
204596,1900,1913
204614,1900,1933
204616,1900,1913
204693,1900,1918
204839,1959,1968
204843,1959,1963
206435,1858,1900
207009,1858,1934
207075,1858,1914
207326,1957,1948
209178,1900,1883
209180,1900,1883
213794,1971,1974
214279,1940,1914
214535,1946,1913
214542,1950,1914
215452,1944,1973
215851,1955,1958
216521,1965,1970
216892,1944,1971
216929,1970,1971
217161,1973,1927
217733,1973,1914
218443,1959,1969
218501,1977,1978
218502,1977,1978
218504,1977,1978
218509,1977,1978
218526,1977,1978
218531,1977,1978
218533,1977,1978
218538,1977,1978
218540,1977,1978
218542,1977,1978
219202,1953,1978
220044,1914,1913
220238,1969,1914
220328,1970,1938
220329,1970,1938
220479,1944,1973
221049,1970,1938
221283,1977,1987
221739,1976,1958
221850,1976,1961
222694,1940,1976
222899,1951,1914
223016,1939,1913
223192,1954,1914
224808,1963,1900
224886,1965,1961
225391,1937,1913
226005,1957,1962
226219,1969,1959
227016,1946,1954
227120,1967,1913
228448,1966,1914
228656,1944,1961
228830,1917,1914
230124,1983,1978
230130,1983,1978
230741,1939,1973
231028,1929,1914
231110,1965,1963
231993,1926,1914
232004,1945,1958
232753,1962,1958
232946,1939,1914
233696,1919,1949
234266,1951,1944
235192,1945,1973
237589,1937,1914
238381,1944,1958
239298,1913,1914
239412,1937,1914
240632,1943,1907
240978,1953,1958
241151,1957,1958
242172,1955,1958
242364,1940,1914
243586,1939,1945
244485,1958,1959
244519,1958,1959
245358,1915,1921
245458,1954,1914
245787,1948,1914
246267,1957,1962
246560,1944,1958
246728,1957,1913
247402,1944,1914
247689,1945,1914
247717,1945,1957
247718,1945,1957
249039,1937,1913
249052,1954,1900
249129,1945,1959
249769,1959,1906
250463,1945,1959
250466,1945,1959
250468,1945,1959
251232,1946,1941
251233,1946,1941
252047,1914,1959
252687,1925,1913
253848,1988,1987
253851,1988,1987
253853,1988,1987
254684,1929,1937
254750,1934,1913
256070,1944,1913
256856,1959,1958
257802,1940,1962
258855,1941,1953
259018,1957,1955
262048,1947,1987
262050,1947,1987
262505,1987,1914
262607,1987,1913
265598,1950,1951
265605,1950,1951
265618,1950,1951
265623,1950,1951
265625,1950,1951
265982,1950,1951
265991,1950,1951
265998,1950,1951
266000,1950,1951
266003,1950,1951
266011,1950,1951
266013,1950,1951
266015,1950,1951
266016,1950,1951
266244,1940,1941
266292,1947,1949
266465,1940,1941
266494,1915,1914
266496,1947,1950
266499,1915,1914
266500,1915,1914
266622,1947,1952
266961,1950,1951
267216,1947,1949
267400,1940,1951
267531,1947,1950
267666,1947,1950
267667,1947,1950
268069,1947,1952
268087,1947,1949
268154,1941,1951
268536,1944,1951
268539,1940,1951
268542,1947,1951
268552,1952,1954
268559,1944,1951
268845,1944,1951
268847,1944,1951
268848,1944,1951
268849,1944,1951
268850,1952,1954
269135,1914,1913
269695,1940,1914
269837,1947,1950
270159,1940,1950
270385,1950,1914
271345,1961,1913
271867,1961,1914
272001,1963,1914
272489,1947,1949
272570,1917,1950
272668,1917,1963
272738,1947,1950
272973,1944,1951
273578,1944,1961
273579,1944,1961
273753,1959,1944
274072,1940,1914
274330,1937,1913
274476,1941,1961
274607,1944,1961
275844,1959,1906
275951,1933,1914
277350,1941,1959
279921,1954,1914
280719,1917,1954
281224,1947,1992
281457,1947,1989
283235,1953,1954
283280,1907,1990
283850,1947,1954
283851,1940,1954
283910,1940,1914
286252,1963,1913
286270,1919,1914
288154,1955,1963
289412,1946,1914
290917,1941,1914
290951,1916,1914
293579,1917,1914
293943,1953,1955
294126,1953,1914
294731,1939,1953
295159,1940,1914
295595,1953,1913
296143,1946,1955
296631,1939,1943
297119,1955,1914
297809,1919,1955
297950,1944,1946
299048,1916,1913
301510,1955,1913
301595,1955,1914
301710,1947,1955
303775,1945,1913
303819,1945,1948
305328,1941,1914
306478,1944,1948
306575,1933,1913
306908,1943,1944
307190,1944,1971
307218,1944,1958
307271,1941,1913
307572,1943,1945
307615,1919,1913
307616,1918,1913
308057,1938,1914
308188,1945,1913
308558,1945,1913
309498,1947,1948
309536,1947,1948
309875,1947,1948
310015,1933,1913
310266,1947,1948
310337,1939,1913
310573,1947,1941
310593,1947,1914
310665,1947,1949
311005,1938,1914
312019,1947,1914
313055,1949,1941
313611,1918,1914
313707,1949,1914
313776,1917,1914
314659,1948,1914
314726,1928,1949
315348,1940,1949
315984,1935,1949
316176,1915,1914
318067,1946,1914
319155,1943,1859
319446,1940,1941
319719,1914,1913
319791,1943,1866
319840,1939,1914
320199,1917,1914
320543,1928,1914
320544,1928,1914
320763,1941,1914
320853,1943,1914
321458,1890,1901
322443,1901,1898
323779,1933,1937
325487,1939,1941
325728,1917,1939
326205,1918,1939
328020,1940,1914
328658,1914,1916
328757,1940,1914
329254,1940,1913
329392,1940,1914
329703,1940,1914
331384,1940,1914
332199,1976,1972
332245,1914,1941
332742,1941,1914
332795,1926,1914
332801,1933,1914
332814,1941,1913
332854,1941,1914
333672,1935,1931
336763,1918,1913
336833,1937,1914
338321,1937,1913
338344,1921,1914
338835,1937,1900
338969,1937,1913
342692,1917,1913
342808,1914,1880
343219,1938,1913
344864,1931,1913
345156,1914,1913
346021,1938,1910
346947,1938,1914
347476,1928,1914
349838,1933,1914
349966,1917,1914
350051,1933,1913
350083,1933,1914
350345,1933,1914
350410,1933,1914
350423,1933,1914
350468,1929,1933
351103,1917,1913
351281,1914,1913
351365,1933,1914
351681,1920,1913
351716,1933,1914
352729,1933,1914
353692,1933,1914
354161,1933,1913
354773,1933,1914
355070,1933,1914
355073,1933,1913
356236,1929,1933
359099,1915,1933
359196,1917,1933
359874,1928,1914
362523,1928,1914
363278,1933,1914
365222,1929,1913
365932,1965,1959
366439,1931,1914
367390,1931,1928
367402,1931,1913
368016,1933,1914
368243,1926,1914
368417,1917,1913
369633,1933,1914
369763,1921,1914
370117,1921,1914
370454,1921,1914
370592,1921,1914
370665,1924,1914
371017,1933,1913
372383,1921,1914
372564,1914,1913
372934,1917,1913
373452,1920,1913
374968,1918,1920
375009,1917,1914
376541,1919,1914
376974,1917,1914
377063,1918,1913
377687,1918,1914
378818,1917,1914
378871,1916,1914
378872,1917,1914
379055,1919,1914
379081,1917,1914
379235,1917,1918
379274,1914,1917
379275,1919,1914
380235,1919,1914
380737,1916,1913
380972,1914,1913
380999,1915,1914
381007,1915,1914
381841,1916,1918
381858,1914,1913
382039,1916,1913
382265,1916,1914
382313,1916,1914
382465,1916,1914
382466,1914,1880
382567,1914,1880
382570,1914,1880
382678,1914,1913
382785,1916,1913
382910,1916,1914
382942,1915,1914
383054,1916,1914
383168,1916,1913
383207,1914,1880
383395,1916,1914
383417,1915,1914
383443,1915,1914
383464,1916,1914
383505,1916,1914
383531,1916,1914
383541,1916,1913
383554,1914,1913
383662,1915,1914
383704,1915,1914
383789,1916,1914
383916,1916,1914
384009,1916,1914
384018,1916,1914
384041,1916,1914
384365,1917,1914
384650,1918,1914
384823,1917,1914
384830,1918,1913
384903,1917,1918
384910,1918,1914
385437,1918,1914
385522,1918,1913
385525,1918,1914
385528,1918,1914
385748,1914,1918
386257,1915,1918
386302,1973,1905
386584,1918,1916
386751,1918,1914
386931,1917,1913
387738,1901,1900
387871,1918,1914
387910,1917,1914
388392,1918,1913
388558,1918,1913
388625,1918,1917
388844,1917,1914
389670,1918,1915
389844,1918,1913
390437,1917,1914
391596,1918,1913
392125,1915,1914
392418,1915,1914
392827,1917,1914
393513,1917,1914
393551,1917,1914
393817,1917,1914
394359,1917,1914
394382,1917,1914
394839,1917,1914
395339,1917,1913
395479,1914,1917
395655,1917,1914
395750,1917,1913
396040,1915,1914
396083,1917,1913
397247,1917,1914
397343,1917,1914
398043,1917,1914
398721,1917,1913
398739,1917,1914
399085,1917,1914
399150,1917,1914
399370,1917,1914
399627,1917,1914
400925,1917,1893
400961,1900,1913
401009,1917,1914
401272,1917,1914
402383,1917,1914
402408,1917,1914
402412,1917,1914
402570,1905,1897
402583,1899,1888
403118,1915,1917
403448,1914,1917
403489,1899,1891
404104,1916,1880
404373,1917,1914
404381,1915,1914
404459,1917,1914
404786,1916,1914
404992,1917,1914
405081,1917,1914
405089,1917,1913
405100,1917,1914
405104,1917,1914
405105,1917,1914
405106,1917,1914
406973,1917,1914
408239,1917,1880
409219,1943,1914
409547,1917,1914
409558,1917,1914
409887,1917,1914
409996,1917,1914
411028,1971,1900
411030,1976,1971
412919,1917,1914
414105,1978,1976
415068,1915,1918
415420,1917,1914
416373,1928,2928
416485,1928,2928
416487,1928,2928
416488,1928,2928
416489,1928,2928
416490,1928,2928
416491,1928,2928
416492,1928,2928
416493,1928,2928
416494,1928,2928
416495,1928,2928
416496,1928,2928
416765,1901,1900
416779,1906,1901
418102,1959,1967
420711,1917,1914
421624,1900,1901
421996,1891,1886
423261,1915,1913
423306,1915,1914
423316,1915,1914
423414,1915,1914
423478,1915,1914
423485,1915,1914
423571,1915,1914
423572,1915,1914
424046,1915,1913
424130,1915,1913
424558,1915,1914
424802,1914,1913
425223,1915,1914
425231,1915,1913
425241,1914,1915
425287,1915,1913
425478,1915,1914
425681,1915,1914
425751,1915,1914
425824,1915,1914
425918,1915,1914
425940,1915,1914
426023,1915,1914
426138,1915,1914
426273,1915,1914
426318,1915,1914
426328,1915,1914
426373,1915,1914
426420,1915,1914
426468,1915,1914
426509,1915,1914
426538,1915,1914
426565,1915,1914
426653,1915,1914
426656,1915,1914
426796,1915,1914
426805,1915,1914
426824,1915,1914
426897,1915,1914
426969,1959,1985
427022,1915,1914
427158,1915,1914
427160,1915,1914
427164,1915,1914
427171,1915,1914
427522,1915,1914
427690,1939,1958
427788,1915,1914
427945,1915,1914
428205,1915,1914
428321,1915,1914
428322,1915,1914
428382,1915,1914
428465,1915,1914
428555,1915,1914
428592,1893,1899
428714,1914,1915
428741,1915,1914
428743,1915,1914
428811,1915,1914
429994,1914,1913
430269,1914,1913
430336,1914,1913
430427,1914,1913
430542,1914,1913
430768,1914,1913
431201,1899,1886
431299,1914,1913
431300,1914,1913
431453,1914,1913
431797,1914,1913
431865,1914,1913
432036,1914,1913
432099,1914,1913
432605,1914,1913
433005,1913,1914
433379,1914,1913
433459,1914,1913
433549,1914,1913
433893,1914,1913
433935,1914,1913
433936,1914,1913
433938,1914,1913
433940,1914,1913
433953,1914,1913
433956,1914,1913
433961,1914,1913
433963,1914,1913
433964,1914,1913
433965,1914,1913
433968,1914,1913
433986,1914,1913
433987,1914,1913
434119,1914,1913
434244,1914,1913
434443,1914,1913
434482,1914,1913
434553,1914,1913
434557,1914,1913
434690,1914,1913
434724,1914,1913
435261,1914,1913
435263,1914,1913
435459,1914,1913
435610,1914,1913
435668,1914,1913
435738,1914,1913
435783,1914,1913
435795,1914,1913
435803,1914,1913
435808,1914,1913
435815,1914,1913
435822,1914,1913
435823,1914,1913
