id,last_appeared,late_date
290,1901,1913
397,1913,1914
431,1900,1914
828,1944,1900
839,1913,1914
931,1915,1912
942,1910,1914
986,1900,1914
1035,1938,1970
1036,1910,1913
1284,1914,1901
1397,1900,1914
1466,1966,2928
1628,1900,1913
1633,2005,2012
1676,1969,2928
1715,1907,1914
1862,1900,1913
2218,1900,1914
2386,1948,2928
2562,1989,1967
2628,1906,1914
2721,1901,1914
2795,1913,1914
2965,1913,1914
3063,1917,2001
3078,1906,1914
3264,1900,1914
3604,1901,1914
3793,1907,1914
3867,1977,1973
3869,1901,1914
4234,1901,1914
4288,1944,1865
4616,1907,1913
4758,1901,1914
4962,1901,1913
4966,1901,1914
5132,1900,1914
5269,1901,1914
5296,1933,2001
5313,1900,1914
5330,1938,1969
6061,1900,1899
6302,1900,1901
6452,1900,1914
6546,1900,1914
6654,1987,2001
6924,1938,1900
6990,1906,1913
7344,1962,1969
7347,1907,1914
7366,1907,1914
7375,1907,1901
7386,1907,1913
8000,1907,1914
8012,1907,1914
8251,1906,1900
8257,1906,1900
8358,1901,1914
8400,1905,1900
8769,1907,1914
8770,1907,1914
8920,1888,1865
9361,1907,1914
9640,1907,1914
9727,1906,1914
9967,1913,1900
10551,1907,1914
11093,1914,1901
11573,1901,1914
12119,1914,1907
12286,1901,1914
12530,1906,1901
12576,1974,1961
12927,1906,1914
13077,1912,1914
13123,1905,1913
13366,1906,1913
13378,1900,1913
13391,1907,1913
13392,1906,1913
13474,1910,1900
13706,1985,1963
13756,1987,1999
13880,1921,2001
13923,1900,1914
14928,1905,1914
14958,1907,1900
15300,1900,1914
15568,1907,1914
15590,1901,1950
15614,1910,1914
16166,1913,1914
16172,1901,1900
16196,1901,1913
16432,1900,1905
16543,1978,2012
16802,1900,1914
16864,1905,1914
16889,1961,1971
17035,1947,1900
17036,1947,1900
17044,1947,1900
17107,1913,1914
17233,1900,1914
17412,1901,1914
18763,1900,1914
19205,1906,1913
19215,1918,1906
19377,1907,1913
19479,1901,1914
19734,1958,1999
19735,1907,1913
20079,1900,1913
20237,1906,1913
20305,2928,1953
20385,1901,1914
20550,1998,1969
20579,1901,1928
20783,1900,1914
21114,1901,1914
21275,1906,1901
21809,1910,1912
22604,1901,1913
22605,1989,1987
22667,1901,1914
22706,1901,1914
23422,1900,1914
23848,1900,1914
24340,1907,1914
24582,1907,1914
24905,1900,1913
25017,1900,1913
25090,1906,1914
25509,1914,1912
25740,1900,1914
26329,1900,1934
26483,1944,1925
27008,1905,1914
27128,1965,1969
27223,1905,1913
27265,1907,1914
27682,1912,1914
27750,1912,1914
27788,1918,1914
27820,1913,1914
27981,1976,1952
28298,1900,1914
28526,1900,1914
29271,1970,1906
29293,1912,1914
29340,1901,1905
29587,1997,1968
29629,1901,1914
29771,1900,1914
29908,1912,1913
30027,1901,1913
30488,1901,1913
30779,1901,1938
30827,1901,1914
31085,1901,1913
31241,1914,1969
31359,1901,1913
31954,1907,1914
32134,1900,1913
32667,1962,1961
32968,1913,1915
33171,1900,1914
33359,1975,2012
33393,1978,2012
33557,1958,1957
33643,1901,1914
33667,1913,1914
33676,1901,1914
34492,1938,1913
34745,1905,1914
35844,1900,1914
35880,1958,1989
36194,1913,1914
36301,1906,1914
37729,1917,1900
37841,1962,1901
37845,1962,1901
37846,1962,1901
38186,1900,1914
38572,1913,1914
38961,1900,1914
39787,1900,1913
39789,1901,1913
39810,1965,1970
39954,1913,1901
39984,1952,1951
40271,1959,1961
40280,1914,1901
40542,1901,1913
42340,1900,1914
42990,1944,1935
43172,1907,1901
43714,1987,1976
43796,1900,1905
43947,1900,1913
44266,1900,1914
44422,1907,1901
44458,1900,1914
44831,1905,1914
44937,1912,1913
44944,1907,1913
45063,1900,1913
45776,1900,1914
47246,1901,1914
47389,1906,1914
48152,1901,1913
48673,1906,1914
48870,1958,1961
49031,1901,1914
49108,1976,1958
49159,1945,1905
49394,1946,2928
49544,1900,1913
49676,1900,1913
51059,1913,1914
51395,1900,1913
51560,1900,1949
51713,1906,1913
51765,1913,1897
51869,1881,1865
52402,1901,1914
52463,1901,1914
52606,1910,1906
53021,1905,1915
53567,1907,1901
53570,1907,1901
53574,1907,1901
53578,1907,1901
53582,1901,1907
53613,1905,1901
53983,1910,1914
54002,1907,1914
54112,1901,1900
54228,1914,1906
