id,highest_price,real_highest_price
10,0,0.75
24,0,1
64,0.95,9
118,0.2,1
119,0,0.1
166,0,0.6
204,0,0.4
214,0,0.6
248,0,1.25
251,0,0.1
276,5.5,92
290,0,0.85
373,0,0.2
389,0.4,0.9
424,0,1
431,0,0.45
450,0,2
502,0.5,92
516,0,6
562,1.2,250
566,0,0.05
574,0,0.05
623,0,2.5
653,0.8,200
672,0,0.4
674,0,0.6
707,0,0.2
714,0,0.25
721,0,0.65
727,0,0.5
731,0,0.2
828,1,110
844,0.35,5
845,0,0.65
865,0,0.4
884,0,0.4
910,0,0.4
931,0.2,0.25
938,0.5,1.8
942,0,0.15
943,0,0.4
944,0,0.8
952,0,6
986,0,0.15
1027,0.75,1
1028,0,0.15
1030,0,0.4
1048,0,0.4
1053,45,70
1106,1,26
1110,2,2500
1118,0,4
1124,1,2
1154,12,21
1160,3,7
1166,0,3
1189,0,0.15
1218,0,0.9
1224,0,0.4
1233,0,0.35
1236,0,0.3
1245,0,0.7
1252,1.5,3
1260,1.5,3
1271,0,2
1276,0,7
1282,0,7
1293,0,1
1302,1.4,25
1349,0,0.45
1363,0,0.4
1370,0,0.4
1401,0,0.4
1445,0,2.5
1466,100,2500
1496,0,0.75
1504,0,0.3
1508,0,0.35
1510,0,0.5
1570,0,1.25
1571,0,1
1574,3.25,55
1575,0,1
1597,0,0.25
1599,0,0.5
1602,0,0.2
1633,0,7.5
1636,0,3.5
1638,2,16
1640,0,2
1648,7,350
1650,0,1800
1667,0,0.25
1696,0,3
1703,0,1.4
1718,0,0.4
1770,0,0.15
1778,0,1.1
1779,0,0.1
1795,0,0.35
1803,0,0.4
1804,0,0.95
1811,0,0.4
1816,0,4
1823,0,1.25
1827,0,1.25
1832,0,1.75
1849,0,0.3
1879,0,0.15
1882,0,0.15
1886,0,0.75
1887,0,0.25
1896,0,0.3
1902,0,1
1905,0,0.4
1918,0,0.2
1922,0,50
1928,0,0.25
1951,1.35,7
1959,0,0.35
1966,0.6,2.6
1975,0,0.85
1976,0,0.7
1989,0,0.35
1994,0,0.3
2007,1,1.6
2047,0,0.35
2058,0,0.45
2061,0,0.5
